epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787322487.051	2026-08-21T14:28:07Z	23403	1	NVIDIA H200	100	26036	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	2	NVIDIA H200	100	26036	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	3	NVIDIA H200	0	1094	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	4	NVIDIA H200	100	26036	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	5	NVIDIA H200	0	4	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	6	NVIDIA H200	0	4	143771	no	alive	131	0.967286
1787322487.051	2026-08-21T14:28:07Z	23403	7	NVIDIA H200	0	4	143771	no	alive	131	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	0	NVIDIA H200	100	12033	143771	yes	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	1	NVIDIA H200	100	26036	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	2	NVIDIA H200	100	26036	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	3	NVIDIA H200	0	1094	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	4	NVIDIA H200	100	26036	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	5	NVIDIA H200	0	4	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	6	NVIDIA H200	0	4	143771	no	alive	133	0.967286
1787324287.276	2026-08-21T14:58:07Z	25203	7	NVIDIA H200	0	4	143771	no	alive	133	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	0	NVIDIA H200	100	12033	143771	yes	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	1	NVIDIA H200	0	4	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	2	NVIDIA H200	0	4	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	3	NVIDIA H200	0	1094	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	4	NVIDIA H200	100	26036	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	5	NVIDIA H200	85	4738	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	6	NVIDIA H200	51	4738	143771	no	alive	135	0.967286
1787326087.482	2026-08-21T15:28:07Z	27003	7	NVIDIA H200	0	4	143771	no	alive	135	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	0	NVIDIA H200	0	2187	143771	yes	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	1	NVIDIA H200	48	4717	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	2	NVIDIA H200	0	4	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	3	NVIDIA H200	0	1093	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	4	NVIDIA H200	100	25001	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	5	NVIDIA H200	60	4717	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	6	NVIDIA H200	49	4738	143771	no	alive	137	0.967286
1787327887.701	2026-08-21T15:58:07Z	28803	7	NVIDIA H200	0	4	143771	no	alive	137	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	0	NVIDIA H200	0	2187	143771	yes	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	1	NVIDIA H200	78	4717	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	2	NVIDIA H200	0	4	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	3	NVIDIA H200	0	1093	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	4	NVIDIA H200	100	25001	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	5	NVIDIA H200	0	4	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	6	NVIDIA H200	82	4717	143771	no	alive	139	0.967286
1787329687.875	2026-08-21T16:28:07Z	30603	7	NVIDIA H200	0	4	143771	no	alive	139	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	0	NVIDIA H200	0	2187	143771	yes	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	1	NVIDIA H200	0	4	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	2	NVIDIA H200	0	4	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	3	NVIDIA H200	0	1093	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	4	NVIDIA H200	100	25001	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	5	NVIDIA H200	0	4	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	6	NVIDIA H200	0	4	143771	no	alive	142	0.967286
1787331488.049	2026-08-21T16:58:08Z	32404	7	NVIDIA H200	0	4	143771	no	alive	142	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	0	NVIDIA H200	99	9707	143771	yes	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	1	NVIDIA H200	0	4	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	2	NVIDIA H200	0	4	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	3	NVIDIA H200	0	1094	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	4	NVIDIA H200	100	25002	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	5	NVIDIA H200	0	4	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	6	NVIDIA H200	0	4	143771	no	alive	144	0.967286
1787333288.229	2026-08-21T17:28:08Z	34204	7	NVIDIA H200	0	4	143771	no	alive	144	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	0	NVIDIA H200	100	12041	143771	yes	alive	146	0.967286
1787335088.449	2026-08-21T17:58:08Z	36004	1	NVIDIA H200	95	1983	143771	no	alive	146	0.967286
